rainfall,year,month,country
7.95905,1994,3,BFA
17.0804,1994,4,BFA
66.5959,1994,5,BFA
97.7118,1994,6,BFA
183.489,1994,7,BFA
290.26,1994,8,BFA
174.88,1994,9,BFA
101.888,1994,10,BFA
0.75871,1994,11,BFA
0.00107,1994,12,BFA
0,1995,1,BFA
0.18432,1995,2,BFA
8.19348,1995,3,BFA
41.0806,1995,4,BFA
69.44,1995,5,BFA
110.591,1995,6,BFA
132.385,1995,7,BFA
235.105,1995,8,BFA
118.155,1995,9,BFA
34.1832,1995,10,BFA
5.43159,1995,11,BFA
0.80987,1995,12,BFA
0.04307,1996,1,BFA
2.35775,1996,2,BFA
3.43493,1996,3,BFA
35.4488,1996,4,BFA
70.4338,1996,5,BFA
93.4486,1996,6,BFA
135.367,1996,7,BFA
222.982,1996,8,BFA
160.629,1996,9,BFA
43.4804,1996,10,BFA
0.0068,1996,11,BFA
0.31218,1996,12,BFA
0.89105,1997,1,BFA
0.16048,1997,2,BFA
4.90723,1997,3,BFA
46.0649,1997,4,BFA
75.0031,1997,5,BFA
106.466,1997,6,BFA
134.333,1997,7,BFA
161.202,1997,8,BFA
131.998,1997,9,BFA
54.9616,1997,10,BFA
3.88258,1997,11,BFA
0.00053,1997,12,BFA
0.03725,1998,1,BFA
1.08062,1998,2,BFA
1.0831,1998,3,BFA
44.1665,1998,4,BFA
69.1941,1998,5,BFA
86.744,1998,6,BFA
148.615,1998,7,BFA
213.286,1998,8,BFA
200.083,1998,9,BFA
49.0553,1998,10,BFA
0.47657,1998,11,BFA
0.9686,1998,12,BFA
0.35607,1999,1,BFA
1.59801,1999,2,BFA
5.40786,1999,3,BFA
29.0241,1999,4,BFA
54.5541,1999,5,BFA
80.6911,1999,6,BFA
184.325,1999,7,BFA
238.922,1999,8,BFA
186.884,1999,9,BFA
56.3679,1999,10,BFA
8.32412,1999,11,BFA
2.00E-05,1999,12,BFA
1.29024,2000,1,BFA
0.00359,2000,2,BFA
5.85726,2000,3,BFA
28.1823,2000,4,BFA
51.3661,2000,5,BFA
104.434,2000,6,BFA
134.708,2000,7,BFA
209.142,2000,8,BFA
125.082,2000,9,BFA
48.8497,2000,10,BFA
1.88069,2000,11,BFA
1.00E-05,2000,12,BFA
0.01526,2001,1,BFA
